Tactic,Technique,Procedure,Indicator
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/FranciscoO62412
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/CandiceWat74232
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/frank_komp69658
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/RobBots123147
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/PeterM6783
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/DowleFranc45935
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/SkipperReb33451
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/soeter_maa44975
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/KennethPer30024
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/TurkinAndr8230
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/RachelMcCl80642
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/BavasChels6815
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/JanineSchu7537
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/CourtierDe63548
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/Christophe28453
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/RhiannonHi92045
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/EricaClark36754
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/AlexanderB53048
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/StijnenRic59220
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/ELifflande42231
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/ILoppach43606
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/FBesseghai11295
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/TrimarchiC79048
0. Acqiuring Assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/FrancoKong97181
,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.1 Copying profile pictures ,The operation copied its profile pictures from across the Internet
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist,The operation's fake personas included posing as journalists in Arunachal Pradesh
1. Disguising assets,1.2 Posing as non-existent person,1.2.3 Posing as fictional activist,The operation's fake personas included poasing as a non-existent advisor to Human Rights Watch
1. Disguising assets,1.2 Posing as non-existent person,,The operation's fake personas included posing as Tibetan activists
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,The operation's fake personas posed as people in the United States and India
1. Disguising assets,1.8 Backstopping,1.8.1 Backstopping fictitious individual across multiple websites,Some of the operation’s fake accounts adopted the same fake persona on Facebook and X
,,,
5. Evading detection,5.4 Copying authentic content,5.4.2 Copying authentic social media posts,"The operation's fake accounts on Facebook copy-pasted the texts of tweets from real Americans, including politicians. "
5. Evading detection,5.5 Obfuscating infrastructure,5.5.1 Using proxy IP in target country,The operation used proxy IP addresses in the United States
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with fake accounts on Facebook ,The operation amplified its content using fake accounts on Facebook
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.4 Amplifying with likely fake accounts on X/Twitter,The operation amplified its content using fake accounts on X/Twitter
,,,
9. Enabling longevity,9.5 Replacing infrastructure,9.5.1 Changing social media accounts ,"As our automated systems detected and disabled this operation's accounts, the operation created new ones"
