Tactic,Technique,Procedure,Indicator,Comments
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bildd[.]lol," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,faz[.]lol," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,fazz[.]beauty," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,fazz[.]lol," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegell[.]beauty," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegell[.]lol," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,weltt[.]beauty," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,weltt[.]lol," Domains spoofing news or government sites Registration date: 10-26-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,faz[.]beauty," Domains spoofing news or government sites Registration date: 10-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]beauty," Domains spoofing news or government sites Registration date: 10-11-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]lol," Domains spoofing news or government sites Registration date: 10-11-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild-d[.]beauty," Domains spoofing news or government sites Registration date: 10-08-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]beauty," Domains spoofing news or government sites Registration date: 10-08-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]work," Domains spoofing news or government sites Registration date: 09-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]cab," Domains spoofing news or government sites Registration date: 09-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,faz[.]life," Domains spoofing news or government sites Registration date: 09-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sueddeutsche[.]co," Domains spoofing news or government sites Registration date: 09-13-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tagesspiegel[.]co," Domains spoofing news or government sites Registration date: 09-13-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]media," Domains spoofing news or government sites Registration date: 09-13-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,nd-aktuell[.]co," Domains spoofing news or government sites Registration date: 09-13-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]ws," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,faz[.]agency," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,nd-aktuell[.]pro," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]work," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sueddeutsche[.]cc," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]ws," Domains spoofing news or government sites Registration date: 09-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]expert," Domains spoofing news or government sites Registration date: 09-06-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,zestiftung[.]com," Domains spoofing news or government sites Registration date: 08-27-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,nd-aktuell[.]net," Domains spoofing news or government sites Registration date: 08-23-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]ink," Domains spoofing news or government sites Registration date: 08-20-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sueddeutsche[.]online," Domains spoofing news or government sites Registration date: 08-20-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-online[.]life," Domains spoofing news or government sites Registration date: 08-20-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sueddeutsche[.]me," Domains spoofing news or government sites Registration date: 08-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegelr.life," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegelr[.]live," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegelr[.]today," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinl[.]life," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinl[.]live," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinl[.]today," Domains spoofing news or government sites Registration date: 08-14-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,schlauespiel[.]de," Domains spoofing news or government sites Registration date: 08-09-2022, Country likely targeted: Germany"
