indicator_type	indicator_value	indicator_comment	ds
domain_name	mispace.cam	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	msol.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	msonline.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	mssecurityaccount.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	mydomainxyz.xyz	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	news-smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	newsl.ink	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	noreplay.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	novafile.tk	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	onpointcorp.co	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	outlook-services.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	outlookservices.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	outlookservices.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	outube.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	pic-shareonline.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	pixlr.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	pixlr.myftp.org	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	post-jquery.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	prefiles.ml	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	publicsgroupe.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	pwutc.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	rali.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	recruitme.international	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	robotics.land	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	sabic.work	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	sandsngo.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	saudivisions2030.org	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	securityaccountreply.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	seery.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	sendblaster.org	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	sender.gb.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shareae.cf	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shlink.run	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shlnk.run	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	short-l.link	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shortli.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shrt.rip	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shur.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	shurl.site	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	site1.life	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp-2go.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.best	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.club	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.fun	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.icu	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.pw	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.site	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.space	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtp2go.website	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtper.center	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	smtptogo.pw	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	soc-usa.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	soundcloud.fun	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	soundcloud.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	spreadme.international	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	src-ymlang.link	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	support-securitymail.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	support-ymail-team.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	surl.ist	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	surl.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	sxk8xrjtaikv3dxl7hgghw3vptvxpzzxeynrcltu4k3yeecjq3.online	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	systembackend.site	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	techmahindra.support	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	teleweb.world	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tetra.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thegardian.ml	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thegaurdian.live	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thomsonsreuters.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thomsonsreuters.eu	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thomsonsreuters.link	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	thomsonsreuters.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tinil.ink	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tinly.me	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tinylink.pro	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tinyurl.gold	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tiwpan.xyz	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tox.cheap	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	treasury.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	treporter.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	trumphotel.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	trumpnationallosangeles.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	trumporganization.world	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	trumporganizations.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	tv-youtube.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	uploaderfile.cf	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	usdailypost.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	usdailypost.net	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	usdp.news	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	vps.limited	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	watch-youtube.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	wikileaks.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	workshopplatform.network	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	xn--rumphotels-vcc.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	xn--twitte-u9a.com	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	xyzsitexyz.xyz	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ymail-account.support	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ymail-security-support.email	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ymail-security.support	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ymailaccounts.us	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	ymailsupport.info	Iran: Tortoiseshell related Domain	2021-07-15
domain_name	zain.network	Iran: Tortoiseshell related Domain	2021-07-15
