Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@ce.ascunde.moldova,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@sahel_libre,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@luys.herustaaliq,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@arman_tatoyan,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@vocea.moldovei,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@mesrop_papik,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@moldova.at.heart,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@ukrainetears,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@inch.e.katarvum,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www[.]tiktok[.]com/@sahel_info,
,,,,
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,"The network impersonated diplomatic entities like the UN, and created localized media outlets to disseminate pro-Russian messaging.",
1. Disguising assets,1.5 Impersonating real institution,1.5.2 Impersonating government institution,"The network impersonated diplomatic entities like the UN, and created localized media outlets to disseminate pro-Russian messaging.",
,,,,
5. Evading detection,5.5 Obfuscating infrastructure,5.5.1 Using proxy IP in target country,"To maintain persistence and evade detection, operators relied heavily on proxy IPs for location spoofing.",
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"The network engaged in around $49,000 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 238,000 accounts followed one or more of these Pages",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 36,000 accounts followed one or more of these Instagram accounts",
