Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,37 Accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,29 Pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.11.0 Creating online petitions ,www[.]change[.]org/p/joão-lourenço-demita-se-do-cargo-de-presidente-da-república-já?recruiter=1368271402&recruited_by_id=8dce6f60-013b-11f0-9bb1-a938b470633d,
,,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.3 Adopting visual brand,"The network also used AI-generated content to make its accounts appear more authentic to local users, including in the Page’s visual branding, such as profile photos and advertisements promoting the Page, as well as in its influence operation materials.",
1. Disguising assets,1.2 Posing as non-existent person,1.2.7 Creating fictitious byline,"In some cases, the network shared opinion articles published by legitimate news websites that carried bylines falsely attributed to real individuals or attributed to entirely fictitious personas. ",
1. Disguising assets,1. Disguising assets,1.3 Posing as non-existent institution,"The threat actors posed as local, grassroots news sources. ",
,,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"The network engaged in around $7,000 in spending for ads on Facebook and Instagram, paid for mostly in Euros and US Dollars.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 30,000 accounts followed one or more of these Pages",
,,,,
9. Enabling longevity,9.2 Changing platforms,9.2.3 Dispersing content across many platforms,www[.]iol.co.za/sundayindependent/analysis/2025-06-25-us-africa-business-summit-a-showdown-in-luanda/,
9. Enabling longevity,9.2 Changing platforms,9.2.3 Dispersing content across many platforms,www[.]iol[.]co[.]za/sundayindependent/dispatch/2025-07-01-angola-must-get-its-house-to-benefit-from-the-us-africa-business-summit,
9. Enabling longevity,9.2 Changing platforms,9.2.3 Dispersing content across many platforms,www[.]angola24horas[.]com/opiniao/item/32323-a-retorica-de-trump-na-africa-anula-todo-o-progresso-joe-biden,
9. Enabling longevity,9.2 Changing platforms,9.2.3 Dispersing content across many platforms,www[.]pulselive[.]co[.]ke/articles/news/local/batuk-laughs-at-rape-victims-why-is-agnes-wanjirus-murderer-still-not-in-jail-opinion-2025100914013150883,
